"項目","平成25年度（2013）_現物社会移転以外の社会給付","平成25年度（2013）_現物社会移転_払い戻しによる社会保障給付","平成25年度（2013）_現物社会移転_その他の現物社会保障給付","平成25年度（2013)_合計"
"１．社会保障給付","500754.0","16891.0","353701.0","871347.0"
"１．社会保障給付_(1)特別会計","406325.0","0.0","2153.0","408478.0"
"１．社会保障給付_(1)特別会計_①厚生保険(除児童手当)","392629.0","0.0","0.0","392629.0"
"１．社会保障給付_(1)特別会計_①厚生保険(除児童手当)_ａ．健康保険","0.0","0.0","0.0","0.0"
"１．社会保障給付_(1)特別会計_①厚生保険(除児童手当)_ｂ．厚生年金","211220.0","0.0","0.0","211220.0"
"１．社会保障給付_(1)特別会計_①厚生保険(除児童手当)_ｃ．国民年金","181410.0","0.0","0.0","181410.0"
"１．社会保障給付_(1)特別会計_②労働保険","13696.0","0.0","2153.0","15849.0"
"１．社会保障給付_(1)特別会計_②労働保険_ａ．労災保険","6010.0","0.0","2153.0","8162.0"
"１．社会保障給付_(1)特別会計_②労働保険_ｂ．雇用保険","7686.0","0.0","0.0","7686.0"
"１．社会保障給付_(1)特別会計_③船員保険","－","ー","ー","ー"
"１．社会保障給付_(2)国民健康保険","1757.0","8663.0","74359.0","84779.0"
"１．社会保障給付_(3)後期高齢者医療","0.0","4244.0","119859.0","124103.0"
"１．社会保障給付_(4)共済組合","66751.0","309.0","2924.0","69985.0"
"１．社会保障給付_(4)共済組合_①国家公務員共済組合","12197.0","15.0","172.0","12383.0"
"１．社会保障給付_(4)共済組合_①国家公務員共済組合_ａ．短期経理","25.0","15.0","172.0","211.0"
"１．社会保障給付_(4)共済組合_①国家公務員共済組合_ｂ．長期経理","12173.0","0.0","0.0","12173.0"
"１．社会保障給付_(4)共済組合_②地方公務員共済組合","52365.0","115.0","1176.0","53657.0"
"１．社会保障給付_(4)共済組合_②地方公務員共済組合_ａ．短期経理","255.0","115.0","1176.0","1547.0"
"１．社会保障給付_(4)共済組合_②地方公務員共済組合_ｂ．長期経理","52110.0","0.0","0.0","52110.0"
"１．社会保障給付_(4)共済組合_③その他(旧公共企業退職員共済組合を含む)","2189.0","179.0","1577.0","3945.0"
"１．社会保障給付_(4)共済組合_③その他(旧公共企業退職員共済組合を含む)_ａ．短期経理","216.0","179.0","1577.0","1972.0"
"１．社会保障給付_(4)共済組合_③その他(旧公共企業退職員共済組合を含む)_ｂ．長期経理","1972.0","0.0","0.0","1972.0"
"１．社会保障給付_(5)組合管掌健康保険","2178.0","1190.0","20046.0","23414.0"
"１．社会保障給付_(6)全国健康保険協会","3367.0","434.0","38282.0","42083.0"
"１．社会保障給付_(7)児童手当","18284.0","0.0","0.0","18284.0"
"１．社会保障給付_(8)基金","1472.0","0.0","76.0","1547.0"
"１．社会保障給付_(9)介護保険","619.0","2052.0","96003.0","98674.0"
"２．無基金雇用者社会給付","18175.0","0.0","0.0","18175.0"
"３．社会扶助給付","102424.0","0.0","0.0","102424.0"
"合計","621353.0","16891.0","353701.0","991946.0"
